EMPRESA,NOME COMERCIAL,SUBSTÂNCIA ACTIVA,DOSAGEM,FORMA,APRESENTAÇÃO
MEDIMPORT LDA,CLAVAMOX 125,Amoxicilina + Ácido Clavulânico,125mg/5ml + 31.25mg/5ml,Pó para Suspensão Oral,"Frasco de 60ml, 75ml, 100ml e de 150ml"
"SOCIEDADE MOÇAMBICANA DE MEDICAMENTOS, SA",CLORETO DE SÓDIO,Cloreto de Sódio,0.009,Solução injectável,Balões 500ml e 1000ml
"SOCIEDADE MOÇAMBICANA DE MEDICAMENTOS, SA",GLICOSE,Glicose,0.05,Solução Injectável,Balões de 1000ml
MEDIMPORT LDA,TRICEF 400,CEFIXIMA,400mg,Comprimidos Revestidos,"CXS de 1, 6, 8 ou 12 COMP"
MEDIMPORT LDA,TRICEF SUSP,CEFIXIMA,100mg / 5ml,Pó para Suspensão Oral,Frasco de 60 e 100 ml
MEDIMPORT LDA,MIOSTENIL,Aspartato de potássio hemi-hidratado + aspartato de magnésio tetra-hidratado,250mg + 250mg,Comprimidos,CXS 60 COMP
MEDIMPORT LDA,UROFLOX,NORFLOXACINA,400mg,Comprimidos,CXS 16 COMP
MEDIMPORT LDA,URIPRIM 300,Alopurinol,300mg,Comprimidos,CXS 60 COMP
MEDIMPORT LDA,URIPRIM 100,Alopurinol,100mg,Comprimidos,CAIXA 20 ou 60 comprimidos
MEDIMPORT LDA,NEUFIL,Diprofilina,"6,67mg/ml",Xarope,FRS 200 ML
MEDIMPORT LDA,NEUFIL,Diprofilina,500 mg,Comprimidos,CXS  60 COMP
MEDIMPORT LDA,BIALZEPAM Retard,Diazepam,10mg,Cápsula de libertação prolongada,CAIXA COM 20 40 ou 60 CAPS
MEDIMPORT LDA,BIALZEPAM 6,Diazepam,6mg,Cápsulas,CAIXA COM 20 40 ou 60 CAPS
MEDIMPORT LDA,BIALZEPAM 3,Diazepam,3mg,Cápsulas,"CAIXA COM 20 0U 40 CAPS, 60"
MEDIMPORT LDA,BIALMINAL FORTE,Fenobarbital,200mg,Comprimidos,Caixa de Cartolina com 20 ou 60 Comp
MEDIMPORT LDA,BIALMINAL,Fenobarbital,100mg,Comprimidos,Caixa de Cartolina com 20 ou 60 Comp
"GENERICS & SPECIALITIES, Lda",CANDIGEN CREME,Clotrimazol,1%,Creme tópico,Bisnaga de 20g
"MEDIS FARMACÊUTICA, LDA",NALBIX 10mg/g CREME,Clotrimazol,10mg/g,Creme tópico,TUBO 20 GR
"MEDIS FARMACÊUTICA, LDA",NALBIX COMPRIMIDOS VAGINAIS,Clotrimazol,100mg,Comprimidos vaginais,CXS 6 comprimidos vaginais
"MEDIS FARMACÊUTICA, LDA",DERMOFIX CREME,"Sertaconazol, Nitrato",2% p/p,Creme,TUBO 30g
"MEDIS FARMACÊUTICA, LDA",CINON FORTE,Cinarizina,75mg,Cápsulas,CXS DE 20 E 60 CÁPS
"GENERICS & SPECIALITIES, Lda",DERMOSONE CREAM,"Betametasona, dipropionato",0%,Creme,Bisnaga de 30g
"GENERICS & SPECIALITIES, Lda",WHITFIELD´S OINTMENT,Ácido Salicílico + Ácido Benzóico,30mg + 60mg,Pomada,"TUBO 25 GRS, 100g"
"GENERICS & SPECIALITIES, Lda",NETRAVIR® EYE OINTMENT,Aciclovir,3% w/w,Pomada Oftálmica,Bisnaga de Alumínio de 4.5g
"GENERICS & SPECIALITIES, Lda",KLORAXIN EYE OINTMENT,Cloranfenicol,1%,Pomada Oftálmica,Bisnaga de 5g
"GENERICS & SPECIALITIES, Lda",FUNGIGEN® CREAM,"Miconazol, nitrato",2% (20mg),Creme,Bisnaga de 15g
"GENERICS & SPECIALITIES, Lda",PYLOOCAIN ® OINTMENT,"Betametasona,valerato + Fenilefrina, cloridrato + Lidocaína, cloridrato",0.5mg + 1mg + 25mg,Pomada anti-hemorroidal,TUBO DE 30G
PROFARMA,NYSTATIN-V,Nistatina,100.000 U.I,Comprimidos vaginais,CAIXA COM 14 COMP C/APLICADOR
MEDIMPORT LDA,FOLICIL,Ácido Fólico,5mg,Comprimidos,"EMBALAGEM 20,50 OU 500 COMP, 60comp"
"MEDÁFRICA, Lda",REGESTEN,Clotrimazol,1%,Creme tópico,TUBO 15g
