EMPRESA,NOME COMERCIAL,SUBSTÂNCIA ACTIVA,DOSAGEM,FORMA,APRESENTAÇÃO
"GENERICS & SPECIALITIES, Lda",CANDIGEN CREME,Clotrimazol,1%,Creme tópico,Bisnaga de 20g
"GENERICS & SPECIALITIES, Lda",DERMOSONE CREAM,"Betametasona, dipropionato",0%,Creme,Bisnaga de 30g
"GENERICS & SPECIALITIES, Lda",WHITFIELD´S OINTMENT,Ácido Salicílico + Ácido Benzóico,30mg + 60mg,Pomada,"TUBO 25 GRS, 100g"
"GENERICS & SPECIALITIES, Lda",NETRAVIR® EYE OINTMENT,Aciclovir,3% w/w,Pomada Oftálmica,Bisnaga de Alumínio de 4.5g
"GENERICS & SPECIALITIES, Lda",KLORAXIN EYE OINTMENT,Cloranfenicol,1%,Pomada Oftálmica,Bisnaga de 5g
"GENERICS & SPECIALITIES, Lda",FUNGIGEN® CREAM,"Miconazol, nitrato",2% (20mg),Creme,Bisnaga de 15g
"GENERICS & SPECIALITIES, Lda",PYLOOCAIN ® OINTMENT,"Betametasona,valerato + Fenilefrina, cloridrato + Lidocaína, cloridrato",0.5mg + 1mg + 25mg,Pomada anti-hemorroidal,TUBO DE 30G
"GENERICS & SPECIALITIES, Lda",TETRACICLINA,"Tetraciclina, Hidrocloreto",1%w/w,Pomada Oftálmica,Bisnaga de 5g
AFRI FARMÁCIA LDA,LOGICAN 200,Fluconazol,200mg,Cápsulas,4 blister de 10 cápsulas
AFRI FARMÁCIA LDA,LOGICAN 150,Fluconazol,150mg,Cápsulas,4 blister de 10 cápsulas
AFRI FARMÁCIA LDA,DICLOMOL GEL,Diclofenac,1.16%w/w,Gel,Bisnaga de 20g
AFRI FARMÁCIA LDA,RL (Lactato de Ringer),cloreto de sódio+sódio+K+Kcl+Cl+Cacl+Ca+lactato Na+glactato,"(0,32 g + 0.6 g + 0,040 g + 0.027 g)/100 ml",Solução injectável,Balões de 1000 ML e  Balões de 500 ML
AFRI FARMÁCIA LDA,DICLOMOL SR,Diclofenac,100mg,Cápsula de libertação prolongada,BLISTER  10X10 COMPRIMIDOS LIBERTAÇÃO PROLONGADA
AFRI FARMÁCIA LDA,DICLOMOL Injectável,Diclofenac,25mg/3ml,Solução Injectável,10 AMPOLAS DE 3ML
AFRI FARMÁCIA LDA,AMINOPHYLLINE,Aminofilina,100mg,Comprimidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,ELYVATE CREME,"Betametasona, valerato",0.001,Creme,Bisnaga de 15g
AFRI FARMÁCIA LDA,ELYVATE  POMADA,"Betametasona, valerato",0.001,Pomada,Bisnaga de 15g
AFRI FARMÁCIA LDA,"VARIACE 2,5",Ramipril,2.5mg,Cápsulas,CAIXA COM BLISTERS (3X10) )capsulas
AFRI FARMÁCIA LDA,VARIACE,Ramipril,5mg,Cápsulas,CAIXA COM BLISTERS (3X10) )capsulas
AFRI FARMÁCIA LDA,SHELADOL,Paracetamol,120mg/5ml,Suspensão Oral,Frasco de 100ml
AFRI FARMÁCIA LDA,MEGAVIT,Vit. A + Vit. D3 + Vit. B1 + Vit. B2 + Vit. B6 + Vit B12 + Vit. C + D-Pantenol + Nicotinamida,5000IU + 400IU + 3mg + 0.856mg + 2mg + 5mcg + 10mg + 5mg + 20mg,Xarope,Frasco de 100ml
AFRI FARMÁCIA LDA,SULPHADAR,Sulfadoxina + Pirimetamina,500mg + 25mg,Comprimidos,EMBALAGEM 30x3 COMP
AFRI FARMÁCIA LDA,PRAZIQUANTEL,Praziquantel,600mg,Comprimidos,BLISTER 10X10 COMP
"GENERICS & SPECIALITIES, Lda",GEN- C,Ácido Ascórbico (Vit. C) + Ascorbato de sódio,200mg +338mg,Comprimido Mastigável,5 Blister X 10 Comprimidos
AFRI FARMÁCIA LDA,UCETAXIME 1000,Cefotaxima,1000mg,Injectável,5 CAIXAS COM 1 FRASCO DE VIDRO
AFRI FARMÁCIA LDA,TRESIVAC,VÍRUS do sarampo+VIRUS da parotite+VÍRUS da rubéola,1000 CCID50 + 5000 CCID50 + 100 CCID50,Pó para Injectável,FRASCO DE  1 DOSE + AMPOLA C/ DILUENTE
AFRI FARMÁCIA LDA,Tetanus Toxoid Vaccine Adsorbed (VAT),Vacina de Tetano,≥ 5LF  (≥ 40UI)/ 0.5ml (1 dose),Suspensão Injectável,50 Frascos de 5ml (10doses) e 25 frascos de 10ml   (20doses)
AFRI FARMÁCIA LDA,SII RABIVAX,ANTÍGENO DA RAIVA,»2.5IU,Suspensão injectável,Frasco de 10 ml com 1 dose
AFRI FARMÁCIA LDA,KOFLYN,Cloreto de amónia+clorfeniramina maleato+citrato de Na+mentol,"100mg+2,2mg+40mg+1,1mg",Xarope,Frasco de 100ml
AFRI FARMÁCIA LDA,MUCOLYN PEDIÁTRICO,Dextrometofano + Clorfeniramina + Pseudoefedrina + amónia,5mg + 2mg + 10mg + 50mg,Xarope,Frasco de 100ml
AFRI FARMÁCIA LDA,MERIQUINE,"Cloroquina, fosfato",250mg,Comprimidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,MALAGO,AMODIAQUINA HCL,200mg,Comprimidos,EMBALAGEM DE 150 COMP
AFRI FARMÁCIA LDA,FORMET,Metformina,500mg,Comprimidos,EMBALAGEM 100 COMP (10X10)
AFRI FARMÁCIA LDA,FERIX FOLIQUE,SULFATO FERROSO + ÁCIDO FÓLICO,200mg+0.25mg,Comprimidos,EMBALAGEM 100 COMP
AFRI FARMÁCIA LDA,MULTONE FORTE,MULTIVITAMINAS,2000IU+200IU+0.5mg+0.1mg+0.1mg+0.1mg+5mg,Comprimidos,CAIXA 100 COMP COM 10 BLISTERS DE 10
AFRI FARMÁCIA LDA,BIOSCINE,BROMETO DE BUTIL HISCINA (Butilescopulamina),100mg,Comprimidos,EMBALAGEM 100 COMP(2x50)
AFRI FARMÁCIA LDA,AMYN-125,"Amoxicilina, Trihidrato",125mg/5ml,Suspensão Oral,Frasco de 100 ml
AFRI FARMÁCIA LDA,AMYN 250,"Amoxicilina, Trihidrato",250mg/5ml,Suspensão Oral,FR 100ML
AFRI FARMÁCIA LDA,UMETAC-150,Ranitidina,150mg,Comprimidos,EMBALAGEM 100 COMP Blisters (10x10)
AFRI FARMÁCIA LDA,PARALGET,Paracetamol,500mg,Comprimidos,CAIXAS 100 COMP(10x10)
AFRI FARMÁCIA LDA,ERYKO-500,Eritromicina,500mg,Comprimidos Revestidos,BLISTER 10X10
AFRI FARMÁCIA LDA,BREN-400,Ibuprofeno,400mg,Comprimidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,BREN-200,Ibuprofeno,200mg,Comprimidos,EMBALAGEM DE 100 COMP(10x10)
AFRI FARMÁCIA LDA,DIFISAL,Diclofenac,50mg,Comprimidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,NUBEND-400,Albendazol,400mg,Comprimidos,STRIP 1 COMP E EMBALAGEM DE 20 COMP
AFRI FARMÁCIA LDA,AZ-1,Azitromicina,250mg,Cápsulas,5 BLISTER X 6 CAPS
AFRI FARMÁCIA LDA,KETOTIF,KETOTIFENO,1 MG,Comprimidos,CXS 100 COMP(10x10)
AFRI FARMÁCIA LDA,TRIM-480,Sulfametoxazol + Trimetoprim,400mg + 80mg,Comprimidos,EMBALAGEM DE 100 COMP(10x10)
AFRI FARMÁCIA LDA,AMYN-500,"Amoxicilina, Trihidrato",500mg,Cápsulas,10 blister de 10 cápsulas
AFRI FARMÁCIA LDA,SHELADOL,Paracetamol,500mg,Comprimidos,embalagem de 100 comprimidos
AFRI FARMÁCIA LDA,MUCOLYN,"Clorfeniramina, Maleato + Dextrometorfano , Hidrobromide + Amonio,Cloridre + Pseudoefedrina",2mg/5ml + 5mg/5ml + 50mg/5ml + 10mg/5ml,Xarope,FRASCO DE 100 ML
AFRI FARMÁCIA LDA,MERIGENTA ® COLÍRIO/ GOTAS AURICULARES,"Gentamicina, sulfato",0%,Colírio/ Gotas auriculares,Frascos de 10ml e 5ml
AFRI FARMÁCIA LDA,GASTRALGINE,Hidróxido de alumínio + Hidróxido de magnésio + dimeticone,(200+200+25)mg / 5ml,Suspensão Oral,Frasco de 200ml
AFRI FARMÁCIA LDA,FERROUS SULPHATE TABLETS BP,SULFATO FERROSO,200mg,Comprimidos,EMBALAGEM 100 COMP(10x10)
AFRI FARMÁCIA LDA,CHLORANPHENICOL,Cloranfenicol,5mg/ml,Colírio,Frasco de 5ml e de 10ml
"GENERICS & SPECIALITIES, Lda",DICLOGEN 50,Diclofenac,50mg,Comprimidos Revestidos,CAIXA C/ 10 X10 COMP
"GENERICS & SPECIALITIES, Lda",DICLOGEN 25,Diclofenac,25mg,Comprimidos Revestidos,CX 10 X10 COMP
AFRI FARMÁCIA LDA,D 5,GLUCOSE anidra,5g/100ml OU 50g/1000ml,Solução Injectável,Frascos de 500ml E 1000ml
AFRI FARMÁCIA LDA,P-ZONE,Prednisolona,5mg,Comprimidos,EMBALAGEM DE 100 (2x5x10) COMPRIMIDOS
AFRI FARMÁCIA LDA,M1 INJECTION,"Tiamina, Hidrocloreto",100mg/2ml,Solução Injectável,100 ampolas de 2ml
AFRI FARMÁCIA LDA,M 12 INJECTION,Cianocobalamina (Vit.B12),1000mcg/2ml,Solução Injectável,Ampola de 2ml
AFRI FARMÁCIA LDA,FERYCAL-12,Tiamina + Riboflavina + Piridoxina + Cianocabalamina + Ácido Fólico + D-Pantenol + Nicotinamida + Ferro + Zinco + Cobre + Manganês + cloridrato de Lisina,25mg + 1mg + 1mg + 5mg + 50mg + 2mg + 10mg + 10mg + 3mg + 0.20mg + 0.25mg + 20mg,Xarope,Frasco de 200ml
AFRI FARMÁCIA LDA,BUTAMOL,"Salbutamol, Sulfato",2mg/5ml,Xarope,FRASCO  DE 60/100/200ML
AFRI FARMÁCIA LDA,DICLOPAR,Paracetamol + Diclofenac,500mg + 50mg,Comprimidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,COLDRIL CAPSULES,"Paracetamol + pseudoefedrina, cloridrato + clorfeniramina, maleato",500mg + 30mg + 2mg,Cápsulas,12 EMBALAGENS  DE 20 CÁPS(12x20)
AFRI FARMÁCIA LDA,COLDRIL,"Paracetamol + pseudoefedrina, cloridrato + clorfeniramina, maleato",120/5ml + 10mg/5ml +1mg/5ml,Xarope,Frascos de 100ml
"GENERICS & SPECIALITIES, Lda",BRUGEN 400,Ibuprofeno,400mg,Drageias,10 CARTEIRAS DE  10 DRAGEIAS
"GENERICS & SPECIALITIES, Lda",BRUGEN 200,Ibuprofeno,200mg,Drageias,10 CARTEIRAS DE  10 DRAGEIAS
AFRI FARMÁCIA LDA,TRIBEX FORTE,Tiamina (Vit. B1) + Piridoxina (Vit. B6) + Cianocobalamina (Vit. B12),100mg + 100mg + 1000mcg,Solução injectavel,EMBALAGEM  5 AMPOLAS DE 3ML
AFRI FARMÁCIA LDA,RELAX,Bisacodil,5mg,Comprimidos,EMBALAGEM 100 COMP(2x5x10)
AFRI FARMÁCIA LDA,SHETRIM,Trimetoprim + Sulfametoxazol,200mg/5ml + 40mg/5ml,Suspensão Oral,Frasco 100 ML
AFRI FARMÁCIA LDA,KODOXY,Doxiciclina,100mg,Cápsulas,EMBALAGEM 100 CÁPS(10x10)
AFRI FARMÁCIA LDA,ERYKO-250,"Eritromicina, etil succinato",250mg/5ml,Suspensão Oral,FRASCO DE  100 ML
"GENERICS & SPECIALITIES, Lda",EFAVIRENZ,Efavirenz,600mg,Comprimidos,EMBALAGEM 30 COMP
AFRI FARMÁCIA LDA,BECOSHEL,"Tiamina, cloridrato (Vit. B1) + Riboflavina (Vit. B2) + Piridoxina (Vit B6) + Nicotinamida (vit. B3)",5mg + 2mg + 2mg + 20mg,Xarope,FRASCO DE  100 ML
AFRI FARMÁCIA LDA,UCETAMOL,Paracetamol,500mg,Comprimidos,EMBALAGEM 100 COMP Blisters (10x10)
AFRI FARMÁCIA LDA,STABETA-40,PROPRANOLOL,40mg,Comprimidos,EMBALAGEM DE 100 COMPRIMIDOS
AFRI FARMÁCIA LDA,DIALIN 5,Glibenclamida,5mg,Comprimidos Revestidos,EMBALAGEM 100 COMP(10x10)
"GENERICS & SPECIALITIES, Lda",SALGEN S,"Salbutamol, Sulfato",2mg/5ml,Xarope,Frasco de 100ml
"GENERICS & SPECIALITIES, Lda",HISTAGEN,"Clorfeniramina, maleato",4mg,Comprimidos,"Frasco de 1000 comp., e 10 x10"
"GENERICS & SPECIALITIES, Lda",Cotrigen-S,Sulfametoxazol + Trimetoprim,200mg/5ml + 40mg/5ml,Suspensão Oral,Frasco de 100ml
AFRI FARMÁCIA LDA,S-CLAR 500,CLARITROMICINA,500mg,Comprimidos Revestidos,10 blister de 10 e 1 blister de 10 comprimidos
AFRI FARMÁCIA LDA,S-CLAR 250,CLARITROMICINA,250mg,Comprimidos Revestidos,10 blister de 10 e 1 blister de 10 comprimidos
AFRI FARMÁCIA LDA,P ZONE EYE DROPS,Prednisolona,1%,Colírio,1 Frasco de 5ml
AFRI FARMÁCIA LDA,MULTONE SYRUP,VIT A + VIT D3 +VIT B1 + RIBOFLAVINA + VIT B6 + NICOTINAMIDA + VIT C + VITB12,"3000 UI+400 UI+1,5 MG+1,2 MG+1 MG+10 MG+50 MG+3,0MCG",Xarope,Frascos 100ml
AFRI FARMÁCIA LDA,MERIGENTA INJECTÁVEL,"Gentamicina, sulfato",80mg/2ml,Solução Injectável,10 Ampolas de 2ml
AFRI FARMÁCIA LDA,GASIDONE,"Domperidona, maleato",10mg,Comprimidos,EMBALAGEM 100 COMP(10x10)
AFRI FARMÁCIA LDA,STALMIN 500,Metformina,500mg,Comprimidos,Embalagem de 100 Comprimidos
AFRI FARMÁCIA LDA,PROMETHAZINE HYDROCHLORIDE TABLETS,"Prometazina, Hidrocloreto",10mg,Comprimidos Revestidos,CARTEIRAS COM 100 COMP(2x5x10)
AFRI FARMÁCIA LDA,ORACIP,"CIPROFLOXACINA,hidrocloreto",0%,Colírio e Gotas auriculares,FRASCO    5ML
AFRI FARMÁCIA LDA,FUNGINIL-K,Ketoconazol,200mg,Comprimidos,EMBALAGEM 100 COMP(10x10)
AFRI FARMÁCIA LDA,ENSTAL 20,"Enalapril, maleato",20mg,Comprimidos,EMBALAGEM 100 COMP(10x10)
AFRI FARMÁCIA LDA,ENSTAL 10,"Enalapril, maleato",10mg,Comprimidos,10 blister de 10 comprimidos
AFRI FARMÁCIA LDA,DEPISTA-25,Imipramina,25mg,Comprimidos,EMBALAGEM 100 COMP (10x10)
AFRI FARMÁCIA LDA,AMITRILON-25,"AMITRIPTILINA, cloridrato",25mg,Comprimidos Revestidos,EMBALAGEM 100 COMP (10x10)
AFRI FARMÁCIA LDA,FUNGISTAT CREAM,"Miconazol, nitrato",2%,Creme,TUBO 15 GRS
AFRI FARMÁCIA LDA,ELYSTAMINE CREAM,"MEPIRAMINA,maleato",2%,Creme,TUBO 15 GRS
AFRI FARMÁCIA LDA,ELYCORT,"Hidrocortisona, acetato",1%,Creme,TUBO 15g
AFRI FARMÁCIA LDA,CANDISTAT creme,CLOTRIMAZOL,1%,Creme tópico,TUBO15g
